,context,question,generated,Rouge-L,BERTScore,BLEURT,Self-BLEU
10,"After some time the linen was taken into the house, and there cut with the scissors and torn into pieces and then pricked with needles. This certainly was not pleasant, but at last it was made into twelve garments of the kind that everybody wears. ""See now, then,"" said the flax, ""I have become something of importance. This was my destiny. It is quite a blessing. Now I shall be of some use in the world, as every one ought to be. It is the only way to be happy. I am now divided into twelve pieces, and yet the whole dozen is all one and the same. It is most extraordinary good fortune.""",Why was the linen cut into  pieces?,"How was the flax treated after it was taken into the house?, Why was the flax happy with how it was treated?","[0.3157894736842105, 0.3529411764705882]","[0.8878351, 0.8797225]","[0.3605312407016754, 0.327393114566803]","[0.1051781439830431, 0.10639247089557903]"
11,"Years passed away, and at last the linen was so worn it could scarcely hold together. ""It must end very soon,"" said the pieces to each other. ""We would gladly have held together a little longer, but it is useless to expect impossibilities."" And at length they fell into rags and tatters and thought it was all over with them, for they were torn to shreds and steeped in water and made into a pulp and dried, and they knew not what besides, till all at once they found themselves beautiful white paper. ""Well, now, this is a surprise--a glorious surprise too,"" said the paper. ""Now I am finer than ever, and who can tell what fine things I may have written upon me? This is wonderful luck!"" And so it was, for the most beautiful stories and poetry were written upon it, and only once was there a blot, which was remarkable good fortune. Then people heard the stories and poetry read, and it made them wiser and better; for all that was written had a good and sensible meaning, and a great blessing was contained in it.",What happened to the linen after it fell apart?,"What happened to the linen when it fell into rags and tatters?, What did people do with the beautiful white paper?","[0.6666666666666666, 0.2222222222222222]","[0.95065725, 0.89993227]","[0.6195647120475769, 0.37365347146987915]","[0.020448007360218394, 0.020577107905082877]"
12,"Years passed away, and at last the linen was so worn it could scarcely hold together. ""It must end very soon,"" said the pieces to each other. ""We would gladly have held together a little longer, but it is useless to expect impossibilities."" And at length they fell into rags and tatters and thought it was all over with them, for they were torn to shreds and steeped in water and made into a pulp and dried, and they knew not what besides, till all at once they found themselves beautiful white paper. ""Well, now, this is a surprise--a glorious surprise too,"" said the paper. ""Now I am finer than ever, and who can tell what fine things I may have written upon me? This is wonderful luck!"" And so it was, for the most beautiful stories and poetry were written upon it, and only once was there a blot, which was remarkable good fortune. Then people heard the stories and poetry read, and it made them wiser and better; for all that was written had a good and sensible meaning, and a great blessing was contained in it.",What did people write on the paper?,"What happened to the linen after it fell into rags and tatters?, What did people do with the beautiful white paper?","[0.2105263157894737, 0.6250000000000001]","[0.8803215, 0.9213029]","[0.3131316304206848, 0.5624882578849792]","[0.020448007360218394, 0.020577107905082877]"
13,"""I never imagined anything like this when I was only a little blue flower growing in the fields,"" said the paper. ""How could I know that I should ever be the means of bringing knowledge and joy to men? I cannot understand it myself, and yet it is really so. Heaven knows that I have done nothing myself but what I was obliged to do with my weak powers for my own preservation; and yet I have been promoted from one joy and honor to another. Each time I think that the song is ended, and then something higher and better begins for me. I suppose now I shall be sent out to journey about the world, so that people may read me. It cannot be otherwise, for I have more splendid thoughts written upon me than I had pretty flowers in olden times. I am happier than ever.""",How does the paper feel about being made into paper?,"Why is the paper so surprised at its new purpose?, What will the paper do now that it has a new purpose?","[0.20000000000000004, 0.1818181818181818]","[0.89001024, 0.8958327]","[0.5426665544509888, 0.5723342299461365]","[0.09780901522321184, 0.09669265690880861]"
14,"""I never imagined anything like this when I was only a little blue flower growing in the fields,"" said the paper. ""How could I know that I should ever be the means of bringing knowledge and joy to men? I cannot understand it myself, and yet it is really so. Heaven knows that I have done nothing myself but what I was obliged to do with my weak powers for my own preservation; and yet I have been promoted from one joy and honor to another. Each time I think that the song is ended, and then something higher and better begins for me. I suppose now I shall be sent out to journey about the world, so that people may read me. It cannot be otherwise, for I have more splendid thoughts written upon me than I had pretty flowers in olden times. I am happier than ever.""",Why is the paper so happy?,"Why is the paper so surprised at its new purpose?, What will the paper do now?, How does the paper feel about its new purpose?","[0.625, 0.3333333333333333, 0.26666666666666666]","[0.94315773, 0.91739005, 0.9046324]","[0.5800438523292542, 0.40893614292144775, 0.5151121616363525]","[0.2790159393585827, 0.05035983350735684, 0.2826657746622342]"
15,"But the paper did not go on its travels. It was sent to the printer, and all the words written upon it were set up in type to make a book,--or rather many hundreds of books,--for many more persons could derive pleasure and profit from a printed book than from the written paper; and if the paper had been sent about the world, it would have been worn out before it had half finished its journey.",Why were the words turned into printed books?,"Why was the paper sent to the printer?, Why was the paper sent to the printer instead of going around the world?","[0.25, 0.18181818181818182]","[0.9372556, 0.9148625]","[0.5913349390029907, 0.5103363394737244]","[0.45649954576858054, 0.49009410393069486]"
16,"But the paper did not go on its travels. It was sent to the printer, and all the words written upon it were set up in type to make a book,--or rather many hundreds of books,--for many more persons could derive pleasure and profit from a printed book than from the written paper; and if the paper had been sent about the world, it would have been worn out before it had half finished its journey.",Why will the paper be happy about being turned into a book?,"Why was the paper sent to the printer?, Why was the paper sent to the printer instead of going around the world?","[0.3, 0.23076923076923075]","[0.89590305, 0.88107055]","[0.44418394565582275, 0.4629781246185303]","[0.45649954576858054, 0.49009410393069486]"
17,"""Yes, this is certainly the wisest plan,"" said the written paper; ""I really did not think of this. I shall remain at home and be held in honor like some old grandfather, as I really am to all these new books. They will do some good. I could not have wandered about as they can, yet he who wrote all this has looked at me as every word flowed from his pen upon my surface. I am the most honored of all."" Then the paper was tied in a bundle with other papers and thrown into a tub that stood in the washhouse. ""After work, it is well to rest,"" said the paper, ""and a very good opportunity to collect one's thoughts. Now I am able, for the first time, to learn what is in me; and to know one's self is true progress. What will be done with me now, I wonder? No doubt I shall still go forward. I have always progressed hitherto, I know quite well.""",What happened to the paper after it was tied in a bundle?,"What will happen to the old books?, What did the paper wonder?","[0.3157894736842105, 0.35294117647058826]","[0.9209765, 0.8736548]","[0.42365121841430664, 0.3712232708930969]","[0.03655552228545124, 0.03849815007763549]"
18,"Now it happened one day that all the paper in the tub was taken out and laid on the hearth to be burned. People said it could not be sold at the shop, to wrap up butter and sugar, because it had been written upon. The children in the house stood round the hearth to watch the blaze, for paper always flamed up so prettily, and afterwards, among the ashes, there were so many red sparks to be seen running one after the other, here and there, as quick as the wind. They called it seeing the children come out of school, and the last spark, they said, was the schoolmaster. They would often think the last spark had come, and one would cry, ""There goes the schoolmaster,"" but the next moment another spark would appear, bright and beautiful. How they wanted to know where all the sparks went to! Perhaps they will find out some day.",Why was the paper not sold at the shop?,"Why was the paper not sold at the shop?, What did the children do while the paper was being burned?, What did the children call the burning of the paper?","[1.0, 0.19999999999999998, 0.2105263157894737]","[1.0, 0.9100633, 0.9093639]","[0.9690374732017517, 0.39842453598976135, 0.32733285427093506]","[0.050781487573685676, 0.27091988546756285, 0.28997844147152074]"
19,"Now it happened one day that all the paper in the tub was taken out and laid on the hearth to be burned. People said it could not be sold at the shop, to wrap up butter and sugar, because it had been written upon. The children in the house stood round the hearth to watch the blaze, for paper always flamed up so prettily, and afterwards, among the ashes, there were so many red sparks to be seen running one after the other, here and there, as quick as the wind. They called it seeing the children come out of school, and the last spark, they said, was the schoolmaster. They would often think the last spark had come, and one would cry, ""There goes the schoolmaster,"" but the next moment another spark would appear, bright and beautiful. How they wanted to know where all the sparks went to! Perhaps they will find out some day.",What did the children do when they saw the fire?,"Why was the paper not sold at the shop?, What did the children do while the paper was being burned?, What did the children do when the paper was burning?","[0.2105263157894737, 0.5714285714285713, 0.7]","[0.90297157, 0.94581854, 0.9587822]","[0.3133464455604553, 0.5203041434288025, 0.485700786113739]","[0.050781487573685676, 0.4366835442847812, 0.4832697830906221]"
20,"The whole bundle of paper had been placed on the fire and was soon burning. ""Ugh!"" cried the paper as it burst into a bright flame; ""ugh!"" It was certainly not very pleasant to be burned. But when the whole was wrapped in flames, the sparks mounted up into the air, higher than the flax had ever been able to raise its little blue flowers, and they glistened as the white linen never could have glistened. All the written letters became quite red in a moment, and all the words and thoughts turned to fire.",What happened to the words and thoughts on the page?,"How did the paper feel when it was burning?, What happened to the written letters?, What happened to the words and thoughts?","[0.10526315789473685, 0.5, 0.8235294117647058]","[0.885476, 0.9401041, 0.9742289]","[0.425632119178772, 0.5771781206130981, 0.755715548992157]","[0.025098621243978974, 0.3768499164492419, 0.3655552228545123]"
21,"""Now I am mounting straight up to the sun,"" said a voice in the flames; and it was as if a thousand voices echoed the words as the flames darted up through the chimney and went out at the top. Then a number of tiny beings, as many as the flowers on the flax had been, and invisible to mortal eyes, floated above the children. They were even lighter and more delicate than the blue flowers from which they were born; and as the flames died out and nothing remained of the paper but black ashes, these little beings danced upon it, and wherever they touched it, bright red sparks appeared.",Why couldn't the children see the tiny beings?,How many beings were floating above the children?,[0.23529411764705882],[0.90832883],[0.4481174349784851],[0]
22,"""Now I am mounting straight up to the sun,"" said a voice in the flames; and it was as if a thousand voices echoed the words as the flames darted up through the chimney and went out at the top. Then a number of tiny beings, as many as the flowers on the flax had been, and invisible to mortal eyes, floated above the children. They were even lighter and more delicate than the blue flowers from which they were born; and as the flames died out and nothing remained of the paper but black ashes, these little beings danced upon it, and wherever they touched it, bright red sparks appeared.",What did the little beings do on the ashes?,How many beings were floating above the children?,[0.23529411764705882],[0.90698344],[0.39626431465148926],[0]
23,"""The children are all out of school, and the schoolmaster was the last of all,"" said the children. It was good fun, and they sang over the dead ashes:           ""Snip, snap, snurre,            Basse lurre.            The song is ended."" But the little invisible beings said, ""The song is never ended; the most beautiful is yet to come."" But the children could neither hear nor understand this; nor should they, for children must not know everything.",What did the little beings say after the song?,Why could the children not hear nor understand the little invisible beings?,[0.28571428571428575],[0.90151423],[0.4123293161392212],[0]
24,"In the Kingdom of Fife, in the days of long ago, there lived an old man and his wife. The old man was a douce, quiet body, but the old woman was lightsome and flighty, and some of the neighbours were wont to look at her askance, and whisper to each other that they sorely feared that she was a Witch.  And her husband was afraid of it, too, for she had a curious habit of disappearing in the gloaming and staying out all night; and when she returned in the morning she looked quite white and tired, as if she had been travelling far, or working hard.","Who had a douce, quiet body?","Who lived in the Kingdom of Fife?, Who was a Witch?, What did the wife do that made people think she was a Witch?, Why did the husband fear his wife was a Witch?","[0.15384615384615383, 0.4, 0.10526315789473684, 0.125]","[0.8618903, 0.8610576, 0.84458053, 0.8464505]","[0.2369629144668579, 0.31495970487594604, 0.26990872621536255, 0.2762950658798218]","[0.03655552228545124, 0.3880684294761699, 0.21972813874997157, 0.28997844147152074]"
25,"In the Kingdom of Fife, in the days of long ago, there lived an old man and his wife. The old man was a douce, quiet body, but the old woman was lightsome and flighty, and some of the neighbours were wont to look at her askance, and whisper to each other that they sorely feared that she was a Witch.  And her husband was afraid of it, too, for she had a curious habit of disappearing in the gloaming and staying out all night; and when she returned in the morning she looked quite white and tired, as if she had been travelling far, or working hard.",Who was lightsome and flighty?,"Who lived in the Kingdom of Fife?, Who was a Witch?, What did the wife do that made people think she was a Witch?, Why did the husband fear his wife was a Witch?","[0.16666666666666666, 0.4444444444444445, 0.1111111111111111, 0.13333333333333333]","[0.8713052, 0.8831433, 0.8648922, 0.862486]","[0.22807598114013672, 0.27780386805534363, 0.21465246379375458, 0.20242798328399658]","[0.03655552228545124, 0.3880684294761699, 0.21972813874997157, 0.28997844147152074]"
26,"In the Kingdom of Fife, in the days of long ago, there lived an old man and his wife. The old man was a douce, quiet body, but the old woman was lightsome and flighty, and some of the neighbours were wont to look at her askance, and whisper to each other that they sorely feared that she was a Witch.  And her husband was afraid of it, too, for she had a curious habit of disappearing in the gloaming and staying out all night; and when she returned in the morning she looked quite white and tired, as if she had been travelling far, or working hard.",Why was her husband afraid that she was a witch?,"Who lived in the Kingdom of Fife?, Who was a Witch?, What did the wife do that made people think she was a Witch?, Why did the husband fear his wife was a Witch?","[0.0, 0.4285714285714285, 0.4347826086956522, 0.5]","[0.8744548, 0.89146906, 0.9216695, 0.9501614]","[0.1965235322713852, 0.4117864966392517, 0.622427225112915, 0.7852566838264465]","[0.03655552228545124, 0.3880684294761699, 0.21972813874997157, 0.28997844147152074]"
27,"In the Kingdom of Fife, in the days of long ago, there lived an old man and his wife. The old man was a douce, quiet body, but the old woman was lightsome and flighty, and some of the neighbours were wont to look at her askance, and whisper to each other that they sorely feared that she was a Witch.  And her husband was afraid of it, too, for she had a curious habit of disappearing in the gloaming and staying out all night; and when she returned in the morning she looked quite white and tired, as if she had been travelling far, or working hard.",How did the wife look when she returned in the morning?,"Who lived in the Kingdom of Fife?, Who was a Witch?, What did the wife do that made people think she was a Witch?, Why did the husband fear his wife was a Witch?","[0.2222222222222222, 0.0, 0.33333333333333337, 0.28571428571428564]","[0.8700102, 0.86640334, 0.896858, 0.8992499]","[0.202252596616745, 0.2113259732723236, 0.44022297859191895, 0.40792375802993774]","[0.03655552228545124, 0.3880684294761699, 0.21972813874997157, 0.28997844147152074]"
28,"He used to try and watch her carefully, in order to find out where she went, or what she did, but he never managed to do so, for she always slipped out of the door when he was not looking, and before he could reach it to follow her, she had vanished utterly.  At last, one day, when he could stand the uncertainty no longer, he asked her to tell him straight out whether she were a Witch or no. And his blood ran cold when, without the slightest hesitation, she answered that she was; and if he would promise not to let anyone know, the next time that she went on one of her midnight expeditions she would tell him all about it.",What did the husband do to find out where his wife went?,"Why did the husband watch his wife carefully?, Why did the husband ask the wife if she was a witch?, What did the wife ask the husband to do if she was a witch?, What would the wife tell the husband about her midnight expeditions?","[0.5, 0.3333333333333333, 0.3846153846153846, 0.2608695652173913]","[0.9247133, 0.91632634, 0.9130402, 0.9055208]","[0.5395657420158386, 0.4554113745689392, 0.4281198978424072, 0.42584121227264404]","[0.236682065782701, 0.6529942057256104, 0.45499414040480374, 0.05186805880190237]"
29,"In the Kingdom of Fife, in the days of long ago, there lived an old man and his wife. The old man was a douce, quiet body, but the old woman was lightsome and flighty, and some of the neighbours were wont to look at her askance, and whisper to each other that they sorely feared that she was a Witch.  And her husband was afraid of it, too, for she had a curious habit of disappearing in the gloaming and staying out all night; and when she returned in the morning she looked quite white and tired, as if she had been travelling far, or working hard.",How did the neighbors feel about the wife possibly being a witch?,"Who lived in the Kingdom of Fife?, Who was a Witch?, What did the wife do that made people think she was a Witch?, Why did the husband fear his wife was a Witch?","[0.10526315789473685, 0.25, 0.4, 0.45454545454545453]","[0.8801468, 0.8862702, 0.9179862, 0.92515564]","[0.22013871371746063, 0.4021257162094116, 0.6084651947021484, 0.6176207661628723]","[0.03655552228545124, 0.3880684294761699, 0.21972813874997157, 0.28997844147152074]"
30,"He used to try and watch her carefully, in order to find out where she went, or what she did, but he never managed to do so, for she always slipped out of the door when he was not looking, and before he could reach it to follow her, she had vanished utterly.  At last, one day, when he could stand the uncertainty no longer, he asked her to tell him straight out whether she were a Witch or no. And his blood ran cold when, without the slightest hesitation, she answered that she was; and if he would promise not to let anyone know, the next time that she went on one of her midnight expeditions she would tell him all about it.",Why did the husband fail to find out where she went?,"Why did the husband watch his wife carefully?, Why did the husband ask the wife if she was a witch?, What did the wife ask the husband to do if she was a witch?, What did the wife do when the husband tried to follow her?, Why did the husband ask the wife if she was a witch?, What did the wife do when the husband asked her if she was a witch?","[0.4210526315789474, 0.43478260869565216, 0.4, 0.34782608695652173, 0.43478260869565216, 0.30769230769230765]","[0.92075044, 0.923417, 0.9065014, 0.9226448, 0.923417, 0.91250074]","[0.4261547327041626, 0.42085087299346924, 0.3697987198829651, 0.4880167841911316, 0.42085087299346924, 0.4188603162765503]","[0.2117924180472059, 1.0, 0.538625222451507, 0.6057224552983581, 1.0, 0.7577395672414201]"
31,"He used to try and watch her carefully, in order to find out where she went, or what she did, but he never managed to do so, for she always slipped out of the door when he was not looking, and before he could reach it to follow her, she had vanished utterly.  At last, one day, when he could stand the uncertainty no longer, he asked her to tell him straight out whether she were a Witch or no. And his blood ran cold when, without the slightest hesitation, she answered that she was; and if he would promise not to let anyone know, the next time that she went on one of her midnight expeditions she would tell him all about it.",What did the husband do when he could not stand the uncertainty any longer?,"Why did the husband watch his wife carefully?, Why did the husband ask the wife if she was a witch?, What did the wife ask the husband to do if she was a witch?, What would the wife tell the husband if she was a witch?, What did the husband do when he could stand the uncertainty no longer?, What did the husband do after he asked the wife if she was a witch?, Why did the husband's blood run cold when the wife answered that she was a witch?","[0.2727272727272727, 0.30769230769230765, 0.35714285714285715, 0.23076923076923075, 0.888888888888889, 0.4827586206896552, 0.3225806451612903]","[0.8934301, 0.88497955, 0.8922397, 0.8852891, 0.98532593, 0.89980304
, 0.88016814]","[0.43369024991989136, 0.402080774307251, 0.3548108637332916, 0.3491361141204834, 0.8228375315666199, 0.44219279289245605, 0.40139204263687134]","[0.2117924180472059, 0.7952707287670506, 0.5031747626530138, 0.4817133384556925, 0.3079300751569292, 0.6865065103648591, 0.3742031646082125]"
32,"He used to try and watch her carefully, in order to find out where she went, or what she did, but he never managed to do so, for she always slipped out of the door when he was not looking, and before he could reach it to follow her, she had vanished utterly.  At last, one day, when he could stand the uncertainty no longer, he asked her to tell him straight out whether she were a Witch or no. And his blood ran cold when, without the slightest hesitation, she answered that she was; and if he would promise not to let anyone know, the next time that she went on one of her midnight expeditions she would tell him all about it.",How did the husband feel while he asked his wife if she was a witch?,"Why did the husband watch his wife carefully?, Why did the husband ask the wife if she was a witch?, What did the wife ask the husband to do if she was a witch?, What would the wife tell the husband about her midnight expeditions?","[0.43478260869565216, 0.6666666666666665, 0.5517241379310344, 0.15384615384615383]","[0.9268669, 0.9531184, 0.9303167, 0.9043882]","[0.45595401525497437, 0.6705945134162903, 0.6163405776023865, 0.3822249174118042]","[0.236682065782701, 0.6529942057256104, 0.45499414040480374, 0.05186805880190237]"
33,"He used to try and watch her carefully, in order to find out where she went, or what she did, but he never managed to do so, for she always slipped out of the door when he was not looking, and before he could reach it to follow her, she had vanished utterly.  At last, one day, when he could stand the uncertainty no longer, he asked her to tell him straight out whether she were a Witch or no. And his blood ran cold when, without the slightest hesitation, she answered that she was; and if he would promise not to let anyone know, the next time that she went on one of her midnight expeditions she would tell him all about it.",What did the wife do after the husband asked if she was a witch?,"Why did the husband watch his wife carefully?, Why did the husband ask the wife if she was a witch?, What did the wife ask the husband to do if she was a witch?, What did the wife do when the husband tried to follow her?, Why did the husband ask the wife if she was a witch?, What did the wife do when the husband asked her if she was a witch?","[0.2727272727272727, 0.6153846153846153, 0.7857142857142857, 0.5384615384615384, 0.6153846153846153, 0.896551724137931]","[0.91627383, 0.9677009, 0.9592169, 0.94846594, 0.9677009, 0.9791102]","[0.44037866592407227, 0.7240936160087585, 0.7630167007446289, 0.6188037991523743, 0.7240936160087585, 0.8573817610740662]","[0.2117924180472059, 1.0, 0.538625222451507, 0.6057224552983581, 1.0, 0.7577395672414201]"
34,"He used to try and watch her carefully, in order to find out where she went, or what she did, but he never managed to do so, for she always slipped out of the door when he was not looking, and before he could reach it to follow her, she had vanished utterly.  At last, one day, when he could stand the uncertainty no longer, he asked her to tell him straight out whether she were a Witch or no. And his blood ran cold when, without the slightest hesitation, she answered that she was; and if he would promise not to let anyone know, the next time that she went on one of her midnight expeditions she would tell him all about it.",What would the wife do if the husband promised not to let anyone know?,"Why did the husband watch his wife carefully?, Why did the husband ask the wife if she was a witch?, What did the wife ask the husband to do if she was a witch?, What would the wife tell the husband about her midnight expeditions?","[0.18181818181818182, 0.23076923076923075, 0.42857142857142855, 0.4799999999999999]","[0.9034748, 0.90396523, 0.91837496, 0.90691215]","[0.45139408111572266, 0.44621479511260986, 0.46381115913391113, 0.4702301025390625]","[0.236682065782701, 0.6529942057256104, 0.45499414040480374, 0.05186805880190237]"
35,"The Goodman promised; for it seemed to him just as well that he should know all about his wife's cantrips.  He had not long to wait before he heard of them. For the very next week the moon was new, which is, as everybody knows, the time of all others when Witches like to stir abroad; and on the first night of the new moon his wife vanished. Nor did she return till daybreak next morning.",Why did the husband make the promise to his wife?,When did the wife vanish?,[0.4],[0.93117607],[0.3695780038833618],[0]
