,id,context,question,generated,Rouge-L,BERTScore,BLEURT,Self-BLEU
10,11,"After some time the linen was taken into the house, and there cut with the scissors and torn into pieces and then pricked with needles. This certainly was not pleasant, but at last it was made into twelve garments of the kind that everybody wears. ""See now, then,"" said the flax, ""I have become something of importance. This was my destiny. It is quite a blessing. Now I shall be of some use in the world, as every one ought to be. It is the only way to be happy. I am now divided into twelve pieces, and yet the whole dozen is all one and the same. It is most extraordinary good fortune.""",Why was the linen cut into  pieces?,"1. What was the linen made into?
2. How was the linen made into twelve garments?
3. Why was the linen made into twelve garments?
4. Which garments did the linen become?
5. Which part of the linen was used to make the garments?
6. When did the linen become twelve garments?
7. Where did the linen become twelve garments?
8. Which part of the linen was used to make the garments?
9. Which garments did the linen become?
10. Which garments did the linen become?
11. Which garments did the linen become?
12. Which garments did the linen become?","[0.5714285714285714, 0.5333333333333333, 0.6666666666666666, 0.30769230769230765, 0.2222222222222222, 0.2857142857142857, 0.2857142857142857, 0.2222222222222222, 0.30769230769230765, 0.30769230769230765, 0.30769230769230765, 0.30769230769230765]","[0.91029775, 0.9382396, 0.936416, 0.8949162, 0.89707065, 0.91235876, 0.91285425, 0.89707065, 0.8949162, 0.8949162, 0.8949162, 0.8949162]","[0.6452974677085876, 0.5393106937408447, 0.5827004909515381, 0.4668579697608948, 0.5712200403213501, 0.5006681084632874, 0.4446861743927002, 0.5712200403213501, 0.4668579697608948, 0.4668579697608948, 0.4668579697608948, 0.4668579697608948]","[0.4671379777282001, 0.8633400213704505, 0.8633400213704505, 1.0, 1.0, 0.8408964152537145, 0.8408964152537145, 1.0, 1.0, 1.0, 1.0, 1.0]"
11,12,"Years passed away, and at last the linen was so worn it could scarcely hold together. ""It must end very soon,"" said the pieces to each other. ""We would gladly have held together a little longer, but it is useless to expect impossibilities."" And at length they fell into rags and tatters and thought it was all over with them, for they were torn to shreds and steeped in water and made into a pulp and dried, and they knew not what besides, till all at once they found themselves beautiful white paper. ""Well, now, this is a surprise--a glorious surprise too,"" said the paper. ""Now I am finer than ever, and who can tell what fine things I may have written upon me? This is wonderful luck!"" And so it was, for the most beautiful stories and poetry were written upon it, and only once was there a blot, which was remarkable good fortune. Then people heard the stories and poetry read, and it made them wiser and better; for all that was written had a good and sensible meaning, and a great blessing was contained in it.",What happened to the linen after it fell apart?,"1. What was the linen made of?
2. When did the linen become worn?
3. Where did the linen come from?
4. Which pieces of the linen were talking to each other?
5. Who was the linen talking to?
6. Why did the linen become worn?
7. How did the linen become worn?","[0.375, 0.26666666666666666, 0.26666666666666666, 0.2105263157894737, 0.26666666666666666, 0.26666666666666666, 0.26666666666666666]","[0.9078634, 0.906994, 0.909311, 0.8899079, 0.88859165, 0.91141075, 0.9108236]","[0.5563719272613525, 0.5312507748603821, 0.5117908120155334, 0.39731770753860474, 0.27253931760787964, 0.5380967855453491, 0.5081642270088196]","[0.13485111859503685, 0.8091067115702212, 0.17567205239427922, 0.06238986072117501, 0.21515344521672802, 0.8091067115702212, 0.8091067115702212]"
12,13,"Years passed away, and at last the linen was so worn it could scarcely hold together. ""It must end very soon,"" said the pieces to each other. ""We would gladly have held together a little longer, but it is useless to expect impossibilities."" And at length they fell into rags and tatters and thought it was all over with them, for they were torn to shreds and steeped in water and made into a pulp and dried, and they knew not what besides, till all at once they found themselves beautiful white paper. ""Well, now, this is a surprise--a glorious surprise too,"" said the paper. ""Now I am finer than ever, and who can tell what fine things I may have written upon me? This is wonderful luck!"" And so it was, for the most beautiful stories and poetry were written upon it, and only once was there a blot, which was remarkable good fortune. Then people heard the stories and poetry read, and it made them wiser and better; for all that was written had a good and sensible meaning, and a great blessing was contained in it.",What did people write on the paper?,"1. What was the linen made of?
2. When did the linen become worn?
3. Where did the linen come from?
4. Which pieces of the linen were talking to each other?
5. Who was the linen talking to?
6. Why did the linen become worn?
7. How did the linen become worn?","[0.2857142857142857, 0.30769230769230765, 0.30769230769230765, 0.11764705882352941, 0.15384615384615383, 0.30769230769230765, 0.30769230769230765]","[0.89986223, 0.903024, 0.89956254, 0.88619834, 0.89892423, 0.9145152, 0.9151427]","[0.34293973445892334, 0.26281505823135376, 0.30642133951187134, 0.2985168397426605, 0.2774399220943451, 0.27664947509765625, 0.2726238965988159]","[0.13485111859503685, 0.8091067115702212, 0.17567205239427922, 0.06238986072117501, 0.21515344521672802, 0.8091067115702212, 0.8091067115702212]"
13,14,"""I never imagined anything like this when I was only a little blue flower growing in the fields,"" said the paper. ""How could I know that I should ever be the means of bringing knowledge and joy to men? I cannot understand it myself, and yet it is really so. Heaven knows that I have done nothing myself but what I was obliged to do with my weak powers for my own preservation; and yet I have been promoted from one joy and honor to another. Each time I think that the song is ended, and then something higher and better begins for me. I suppose now I shall be sent out to journey about the world, so that people may read me. It cannot be otherwise, for I have more splendid thoughts written upon me than I had pretty flowers in olden times. I am happier than ever.""",How does the paper feel about being made into paper?,"1. What was the paper's initial purpose?
2. When did the paper realize its potential?
3. Where did the paper's journey begin?
4. Which people read the paper?
5. Who wrote the paper?
6. Why did the paper have more splendid thoughts written upon it?
7. How did the paper's journey end?","[0.22222222222222224, 0.23529411764705882, 0.23529411764705882, 0.26666666666666666, 0.28571428571428575, 0.1904761904761905, 0.3529411764705882]","[0.8792534, 0.8900686, 0.8939928, 0.8797359, 0.87972784, 0.86310846, 0.8978716]","[0.45993220806121826, 0.44499868154525757, 0.41961073875427246, 0.35256510972976685, 0.38255947828292847, 0.48459166288375854, 0.4059244990348816]","[0.1122444464861146, 0.1477219991186121, 0.5410822690539396, 0.20205155046766235, 0.21771262023986562, 0.09058752341587764, 0.5410822690539396]"
14,15,"""I never imagined anything like this when I was only a little blue flower growing in the fields,"" said the paper. ""How could I know that I should ever be the means of bringing knowledge and joy to men? I cannot understand it myself, and yet it is really so. Heaven knows that I have done nothing myself but what I was obliged to do with my weak powers for my own preservation; and yet I have been promoted from one joy and honor to another. Each time I think that the song is ended, and then something higher and better begins for me. I suppose now I shall be sent out to journey about the world, so that people may read me. It cannot be otherwise, for I have more splendid thoughts written upon me than I had pretty flowers in olden times. I am happier than ever.""",Why is the paper so happy?,"1. What was the paper's initial purpose?
2. When did the paper realize its potential?
3. Where did the paper's journey begin?
4. Which people read the paper?
5. Who wrote the paper?
6. Why did the paper's journey begin?
7. How did the paper's journey end?","[0.28571428571428575, 0.30769230769230765, 0.30769230769230765, 0.3636363636363636, 0.4, 0.4615384615384615, 0.30769230769230765]","[0.888629, 0.9142593, 0.9067309, 0.90006405, 0.8942779, 0.91012365, 0.91441417]","[0.40434950590133667, 0.40503060817718506, 0.3878628611564636, 0.32015925645828247, 0.313081294298172, 0.40627533197402954, 0.37135255336761475]","[0.1122444464861146, 0.1477219991186121, 0.8408964152537145, 0.20205155046766235, 0.21771262023986562, 0.8408964152537145, 0.5410822690539396]"
15,16,"But the paper did not go on its travels. It was sent to the printer, and all the words written upon it were set up in type to make a book,--or rather many hundreds of books,--for many more persons could derive pleasure and profit from a printed book than from the written paper; and if the paper had been sent about the world, it would have been worn out before it had half finished its journey.",Why were the words turned into printed books?,"1. What was the paper used for?
2. When was the paper used?
3. Where was the paper used?
4. Which words were written upon it?
5. Who wrote the words upon it?
6. Why was the paper sent to the printer?
7. How was the paper used?","[0.13333333333333333, 0.15384615384615385, 0.15384615384615385, 0.14285714285714288, 0.28571428571428575, 0.25, 0.15384615384615385]","[0.9005464, 0.92202634, 0.9230379, 0.8980876, 0.8937878, 0.9372555, 0.9254164]","[0.48707449436187744, 0.4507766366004944, 0.45917636156082153, 0.5120866894721985, 0.488025963306427, 0.5913349390029907, 0.4827185869216919]","[0.3155984539112945, 0.7598356856515925, 0.7598356856515925, 0.17567205239427922, 0.18575057999133598, 0.12753431387594827, 0.7598356856515925]"
16,17,"But the paper did not go on its travels. It was sent to the printer, and all the words written upon it were set up in type to make a book,--or rather many hundreds of books,--for many more persons could derive pleasure and profit from a printed book than from the written paper; and if the paper had been sent about the world, it would have been worn out before it had half finished its journey.",Why will the paper be happy about being turned into a book?,"1. What was the paper used for?
2. When was the paper sent to the printer?
3. Where was the paper sent to?
4. Which words were written upon it?
5. Who wrote the words upon the paper?
6. Why was the paper sent to the printer?
7. How many books were printed from the paper?","[0.2105263157894737, 0.2, 0.2222222222222222, 0.0, 0.2105263157894737, 0.3, 0.2]","[0.8741621, 0.8922189, 0.88443935, 0.85820115, 0.8717593, 0.89590317, 0.88879585]","[0.38209348917007446, 0.42691200971603394, 0.37004464864730835, 0.39788615703582764, 0.4461180567741394, 0.44418394565582275, 0.45201730728149414]","[0.12753431387594827, 0.8633400213704505, 0.6434588841607617, 0.046713797772820004, 0.16348126556655487, 0.8633400213704505, 0.12753431387594827]"
17,18,"""Yes, this is certainly the wisest plan,"" said the written paper; ""I really did not think of this. I shall remain at home and be held in honor like some old grandfather, as I really am to all these new books. They will do some good. I could not have wandered about as they can, yet he who wrote all this has looked at me as every word flowed from his pen upon my surface. I am the most honored of all."" Then the paper was tied in a bundle with other papers and thrown into a tub that stood in the washhouse. ""After work, it is well to rest,"" said the paper, ""and a very good opportunity to collect one's thoughts. Now I am able, for the first time, to learn what is in me; and to know one's self is true progress. What will be done with me now, I wonder? No doubt I shall still go forward. I have always progressed hitherto, I know quite well.""",What happened to the paper after it was tied in a bundle?,"1. What is the wisest plan?
2. When did the written paper realize this?
3. Where did the written paper decide to stay?
4. Which books did the written paper decide to read?
5. Who wrote all these words?
6. Why did the written paper decide to stay at home?
7. How did the written paper decide to read the books?","[0.2222222222222222, 0.2105263157894737, 0.2, 0.1904761904761905, 0.0, 0.1818181818181818, 0.1818181818181818]","[0.87844056, 0.8864567, 0.88668567, 0.87823987, 0.8855934, 0.88614386, 0.8842424]","[0.23754900693893433, 0.3988058269023895, 0.3923492729663849, 0.28132373094558716, 0.3440162241458893, 0.39871564507484436, 0.3480571508407593]","[0.03303164318013808, 0.3655552228545123, 0.7506238537503395, 0.6803749333171202, 0.02925226826055808, 0.5900468726392808, 0.6076795808137692]"
18,19,"Now it happened one day that all the paper in the tub was taken out and laid on the hearth to be burned. People said it could not be sold at the shop, to wrap up butter and sugar, because it had been written upon. The children in the house stood round the hearth to watch the blaze, for paper always flamed up so prettily, and afterwards, among the ashes, there were so many red sparks to be seen running one after the other, here and there, as quick as the wind. They called it seeing the children come out of school, and the last spark, they said, was the schoolmaster. They would often think the last spark had come, and one would cry, ""There goes the schoolmaster,"" but the next moment another spark would appear, bright and beautiful. How they wanted to know where all the sparks went to! Perhaps they will find out some day.",Why was the paper not sold at the shop?,"1. What was the reason for the paper being taken out of the tub and laid on the hearth to be burned?
2. Why did people say it could not be sold at the shop, to wrap up butter and sugar?
3. What did the children in the house stand round the hearth to watch?
4. What did they call it seeing the children come out of school?
5. What did they say the last spark had come, and the next moment another spark would appear, bright and beautiful?
6. How did they want to know where all the sparks went to?
7. What was the reason for the paper being taken out of the tub and laid on the hearth to be burned?","[0.2580645161290322, 0.4444444444444444, 0.18181818181818185, 0.09523809523809525, 0.13793103448275865, 0.09523809523809525, 0.26666666666666666]","[0.8941872, 0.9186512, 0.89880824, 0.8848935, 0.86602277, 0.8804736, 0.90149873]","[0.3183565139770508, 0.36792510747909546, 0.30454355478286743, 0.2255587875843048, 0.281721830368042, 0.27852702140808105, 0.3741776943206787]","[0.910879922930628, 0.015092282416225879, 0.11064054220098625, 0.1235622127262679, 0.05538696232597745, 0.04131551591106297, 0.9555630362682843]"
19,20,"Now it happened one day that all the paper in the tub was taken out and laid on the hearth to be burned. People said it could not be sold at the shop, to wrap up butter and sugar, because it had been written upon. The children in the house stood round the hearth to watch the blaze, for paper always flamed up so prettily, and afterwards, among the ashes, there were so many red sparks to be seen running one after the other, here and there, as quick as the wind. They called it seeing the children come out of school, and the last spark, they said, was the schoolmaster. They would often think the last spark had come, and one would cry, ""There goes the schoolmaster,"" but the next moment another spark would appear, bright and beautiful. How they wanted to know where all the sparks went to! Perhaps they will find out some day.",What did the children do when they saw the fire?,"1. What happened one day that all the paper in the tub was taken out and laid on the hearth to be burned?
2. Why did people say it could not be sold at the shop, to wrap up butter and sugar, because it had been written upon?
3. How did the children in the house stand round the hearth to watch the blaze, for paper always flamed up so prettily, and afterwards, among the ashes, there were so many red sparks to be seen running one after the other, here and there, as quick as the wind?
4. They called it seeing the children come out of school, and the last spark, they said, was the schoolmaster. How did they want to know where all the sparks went to?
5. Perhaps they will find out some day.","[0.18181818181818182, 0.11764705882352941, 0.13559322033898302, 0.1951219512195122, 0.11764705882352941]","[0.87693614, 0.8808192, 0.86271805, 0.8787187, 0.85213375]","[0.3523874282836914, 0.26716718077659607, 0.423636257648468, 0.3145906329154968, 0.30637475848197937]","[0.06613837137034122, 0.01241303298313275, 0.03593554594616387, 0.027763804076017164, 0.0046915019735703535]"
