,context,question,generated
11,"Years passed away, and at last the linen was so worn it could scarcely hold together. ""It must end very soon,"" said the pieces to each other. ""We would gladly have held together a little longer, but it is useless to expect impossibilities."" And at length they fell into rags and tatters and thought it was all over with them, for they were torn to shreds and steeped in water and made into a pulp and dried, and they knew not what besides, till all at once they found themselves beautiful white paper. ""Well, now, this is a surprise--a glorious surprise too,"" said the paper. ""Now I am finer than ever, and who can tell what fine things I may have written upon me? This is wonderful luck!"" And so it was, for the most beautiful stories and poetry were written upon it, and only once was there a blot, which was remarkable good fortune. Then people heard the stories and poetry read, and it made them wiser and better; for all that was written had a good and sensible meaning, and a great blessing was contained in it.",What happened to the linen after it fell apart?,"What happened to the linen when it fell into rags and tatters?, What did people do with the beautiful white paper?"
12,"Years passed away, and at last the linen was so worn it could scarcely hold together. ""It must end very soon,"" said the pieces to each other. ""We would gladly have held together a little longer, but it is useless to expect impossibilities."" And at length they fell into rags and tatters and thought it was all over with them, for they were torn to shreds and steeped in water and made into a pulp and dried, and they knew not what besides, till all at once they found themselves beautiful white paper. ""Well, now, this is a surprise--a glorious surprise too,"" said the paper. ""Now I am finer than ever, and who can tell what fine things I may have written upon me? This is wonderful luck!"" And so it was, for the most beautiful stories and poetry were written upon it, and only once was there a blot, which was remarkable good fortune. Then people heard the stories and poetry read, and it made them wiser and better; for all that was written had a good and sensible meaning, and a great blessing was contained in it.",What did people write on the paper?,"What happened to the linen after it fell into rags and tatters?, What did people do with the beautiful white paper?"
13,"""I never imagined anything like this when I was only a little blue flower growing in the fields,"" said the paper. ""How could I know that I should ever be the means of bringing knowledge and joy to men? I cannot understand it myself, and yet it is really so. Heaven knows that I have done nothing myself but what I was obliged to do with my weak powers for my own preservation; and yet I have been promoted from one joy and honor to another. Each time I think that the song is ended, and then something higher and better begins for me. I suppose now I shall be sent out to journey about the world, so that people may read me. It cannot be otherwise, for I have more splendid thoughts written upon me than I had pretty flowers in olden times. I am happier than ever.""",How does the paper feel about being made into paper?,"Why is the paper so surprised at its new purpose?, What will the paper do now that it has a new purpose?"
14,"""I never imagined anything like this when I was only a little blue flower growing in the fields,"" said the paper. ""How could I know that I should ever be the means of bringing knowledge and joy to men? I cannot understand it myself, and yet it is really so. Heaven knows that I have done nothing myself but what I was obliged to do with my weak powers for my own preservation; and yet I have been promoted from one joy and honor to another. Each time I think that the song is ended, and then something higher and better begins for me. I suppose now I shall be sent out to journey about the world, so that people may read me. It cannot be otherwise, for I have more splendid thoughts written upon me than I had pretty flowers in olden times. I am happier than ever.""",Why is the paper so happy?,"Why is the paper so surprised at its new purpose?, What will the paper do now?, How does the paper feel about its new purpose?"
15,"But the paper did not go on its travels. It was sent to the printer, and all the words written upon it were set up in type to make a book,--or rather many hundreds of books,--for many more persons could derive pleasure and profit from a printed book than from the written paper; and if the paper had been sent about the world, it would have been worn out before it had half finished its journey.",Why were the words turned into printed books?,"Why was the paper sent to the printer?, Why was the paper sent to the printer instead of going around the world?"
16,"But the paper did not go on its travels. It was sent to the printer, and all the words written upon it were set up in type to make a book,--or rather many hundreds of books,--for many more persons could derive pleasure and profit from a printed book than from the written paper; and if the paper had been sent about the world, it would have been worn out before it had half finished its journey.",Why will the paper be happy about being turned into a book?,"Why was the paper sent to the printer?, Why was the paper sent to the printer instead of going around the world?"
17,"""Yes, this is certainly the wisest plan,"" said the written paper; ""I really did not think of this. I shall remain at home and be held in honor like some old grandfather, as I really am to all these new books. They will do some good. I could not have wandered about as they can, yet he who wrote all this has looked at me as every word flowed from his pen upon my surface. I am the most honored of all."" Then the paper was tied in a bundle with other papers and thrown into a tub that stood in the washhouse. ""After work, it is well to rest,"" said the paper, ""and a very good opportunity to collect one's thoughts. Now I am able, for the first time, to learn what is in me; and to know one's self is true progress. What will be done with me now, I wonder? No doubt I shall still go forward. I have always progressed hitherto, I know quite well.""",What happened to the paper after it was tied in a bundle?,"What will happen to the old books?, What did the paper wonder?"
18,"Now it happened one day that all the paper in the tub was taken out and laid on the hearth to be burned. People said it could not be sold at the shop, to wrap up butter and sugar, because it had been written upon. The children in the house stood round the hearth to watch the blaze, for paper always flamed up so prettily, and afterwards, among the ashes, there were so many red sparks to be seen running one after the other, here and there, as quick as the wind. They called it seeing the children come out of school, and the last spark, they said, was the schoolmaster. They would often think the last spark had come, and one would cry, ""There goes the schoolmaster,"" but the next moment another spark would appear, bright and beautiful. How they wanted to know where all the sparks went to! Perhaps they will find out some day.",Why was the paper not sold at the shop?,"Why was the paper not sold at the shop?, What did the children do while the paper was being burned?, What did the children call the burning of the paper?"
19,"Now it happened one day that all the paper in the tub was taken out and laid on the hearth to be burned. People said it could not be sold at the shop, to wrap up butter and sugar, because it had been written upon. The children in the house stood round the hearth to watch the blaze, for paper always flamed up so prettily, and afterwards, among the ashes, there were so many red sparks to be seen running one after the other, here and there, as quick as the wind. They called it seeing the children come out of school, and the last spark, they said, was the schoolmaster. They would often think the last spark had come, and one would cry, ""There goes the schoolmaster,"" but the next moment another spark would appear, bright and beautiful. How they wanted to know where all the sparks went to! Perhaps they will find out some day.",What did the children do when they saw the fire?,"Why was the paper not sold at the shop?, What did the children do while the paper was being burned?, What did the children do when the paper was burning?"
20,"The whole bundle of paper had been placed on the fire and was soon burning. ""Ugh!"" cried the paper as it burst into a bright flame; ""ugh!"" It was certainly not very pleasant to be burned. But when the whole was wrapped in flames, the sparks mounted up into the air, higher than the flax had ever been able to raise its little blue flowers, and they glistened as the white linen never could have glistened. All the written letters became quite red in a moment, and all the words and thoughts turned to fire.",What happened to the words and thoughts on the page?,"How did the paper feel when it was burning?, What happened to the written letters?, What happened to the words and thoughts?"
21,"""Now I am mounting straight up to the sun,"" said a voice in the flames; and it was as if a thousand voices echoed the words as the flames darted up through the chimney and went out at the top. Then a number of tiny beings, as many as the flowers on the flax had been, and invisible to mortal eyes, floated above the children. They were even lighter and more delicate than the blue flowers from which they were born; and as the flames died out and nothing remained of the paper but black ashes, these little beings danced upon it, and wherever they touched it, bright red sparks appeared.",Why couldn't the children see the tiny beings?,How many beings were floating above the children?
22,"""Now I am mounting straight up to the sun,"" said a voice in the flames; and it was as if a thousand voices echoed the words as the flames darted up through the chimney and went out at the top. Then a number of tiny beings, as many as the flowers on the flax had been, and invisible to mortal eyes, floated above the children. They were even lighter and more delicate than the blue flowers from which they were born; and as the flames died out and nothing remained of the paper but black ashes, these little beings danced upon it, and wherever they touched it, bright red sparks appeared.",What did the little beings do on the ashes?,How many beings were floating above the children?
23,"""The children are all out of school, and the schoolmaster was the last of all,"" said the children. It was good fun, and they sang over the dead ashes:           ""Snip, snap, snurre,            Basse lurre.            The song is ended."" But the little invisible beings said, ""The song is never ended; the most beautiful is yet to come."" But the children could neither hear nor understand this; nor should they, for children must not know everything.",What did the little beings say after the song?,Why could the children not hear nor understand the little invisible beings?
24,"In the Kingdom of Fife, in the days of long ago, there lived an old man and his wife. The old man was a douce, quiet body, but the old woman was lightsome and flighty, and some of the neighbours were wont to look at her askance, and whisper to each other that they sorely feared that she was a Witch.  And her husband was afraid of it, too, for she had a curious habit of disappearing in the gloaming and staying out all night; and when she returned in the morning she looked quite white and tired, as if she had been travelling far, or working hard.","Who had a douce, quiet body?","Who lived in the Kingdom of Fife?, Who was a Witch?, What did the wife do that made people think she was a Witch?, Why did the husband fear his wife was a Witch?"
25,"In the Kingdom of Fife, in the days of long ago, there lived an old man and his wife. The old man was a douce, quiet body, but the old woman was lightsome and flighty, and some of the neighbours were wont to look at her askance, and whisper to each other that they sorely feared that she was a Witch.  And her husband was afraid of it, too, for she had a curious habit of disappearing in the gloaming and staying out all night; and when she returned in the morning she looked quite white and tired, as if she had been travelling far, or working hard.",Who was lightsome and flighty?,"Who lived in the Kingdom of Fife?, Who was a Witch?, What did the wife do that made people think she was a Witch?, Why did the husband fear his wife was a Witch?"
26,"In the Kingdom of Fife, in the days of long ago, there lived an old man and his wife. The old man was a douce, quiet body, but the old woman was lightsome and flighty, and some of the neighbours were wont to look at her askance, and whisper to each other that they sorely feared that she was a Witch.  And her husband was afraid of it, too, for she had a curious habit of disappearing in the gloaming and staying out all night; and when she returned in the morning she looked quite white and tired, as if she had been travelling far, or working hard.",Why was her husband afraid that she was a witch?,"Who lived in the Kingdom of Fife?, Who was a Witch?, What did the wife do that made people think she was a Witch?, Why did the husband fear his wife was a Witch?"
27,"In the Kingdom of Fife, in the days of long ago, there lived an old man and his wife. The old man was a douce, quiet body, but the old woman was lightsome and flighty, and some of the neighbours were wont to look at her askance, and whisper to each other that they sorely feared that she was a Witch.  And her husband was afraid of it, too, for she had a curious habit of disappearing in the gloaming and staying out all night; and when she returned in the morning she looked quite white and tired, as if she had been travelling far, or working hard.",How did the wife look when she returned in the morning?,"Who lived in the Kingdom of Fife?, Who was a Witch?, What did the wife do that made people think she was a Witch?, Why did the husband fear his wife was a Witch?"
28,"He used to try and watch her carefully, in order to find out where she went, or what she did, but he never managed to do so, for she always slipped out of the door when he was not looking, and before he could reach it to follow her, she had vanished utterly.  At last, one day, when he could stand the uncertainty no longer, he asked her to tell him straight out whether she were a Witch or no. And his blood ran cold when, without the slightest hesitation, she answered that she was; and if he would promise not to let anyone know, the next time that she went on one of her midnight expeditions she would tell him all about it.",What did the husband do to find out where his wife went?,"Why did the husband watch his wife carefully?, Why did the husband ask the wife if she was a witch?, What did the wife ask the husband to do if she was a witch?, What would the wife tell the husband about her midnight expeditions?"
29,"In the Kingdom of Fife, in the days of long ago, there lived an old man and his wife. The old man was a douce, quiet body, but the old woman was lightsome and flighty, and some of the neighbours were wont to look at her askance, and whisper to each other that they sorely feared that she was a Witch.  And her husband was afraid of it, too, for she had a curious habit of disappearing in the gloaming and staying out all night; and when she returned in the morning she looked quite white and tired, as if she had been travelling far, or working hard.",How did the neighbors feel about the wife possibly being a witch?,"Who lived in the Kingdom of Fife?, Who was a Witch?, What did the wife do that made people think she was a Witch?, Why did the husband fear his wife was a Witch?"
30,"He used to try and watch her carefully, in order to find out where she went, or what she did, but he never managed to do so, for she always slipped out of the door when he was not looking, and before he could reach it to follow her, she had vanished utterly.  At last, one day, when he could stand the uncertainty no longer, he asked her to tell him straight out whether she were a Witch or no. And his blood ran cold when, without the slightest hesitation, she answered that she was; and if he would promise not to let anyone know, the next time that she went on one of her midnight expeditions she would tell him all about it.",Why did the husband fail to find out where she went?,"Why did the husband watch his wife carefully?, Why did the husband ask the wife if she was a witch?, What did the wife ask the husband to do if she was a witch?, What did the wife do when the husband tried to follow her?, Why did the husband ask the wife if she was a witch?, What did the wife do when the husband asked her if she was a witch?"
31,"He used to try and watch her carefully, in order to find out where she went, or what she did, but he never managed to do so, for she always slipped out of the door when he was not looking, and before he could reach it to follow her, she had vanished utterly.  At last, one day, when he could stand the uncertainty no longer, he asked her to tell him straight out whether she were a Witch or no. And his blood ran cold when, without the slightest hesitation, she answered that she was; and if he would promise not to let anyone know, the next time that she went on one of her midnight expeditions she would tell him all about it.",What did the husband do when he could not stand the uncertainty any longer?,"Why did the husband watch his wife carefully?, Why did the husband ask the wife if she was a witch?, What did the wife ask the husband to do if she was a witch?, What would the wife tell the husband if she was a witch?, What did the husband do when he could stand the uncertainty no longer?, What did the husband do after he asked the wife if she was a witch?, Why did the husband's blood run cold when the wife answered that she was a witch?"
32,"He used to try and watch her carefully, in order to find out where she went, or what she did, but he never managed to do so, for she always slipped out of the door when he was not looking, and before he could reach it to follow her, she had vanished utterly.  At last, one day, when he could stand the uncertainty no longer, he asked her to tell him straight out whether she were a Witch or no. And his blood ran cold when, without the slightest hesitation, she answered that she was; and if he would promise not to let anyone know, the next time that she went on one of her midnight expeditions she would tell him all about it.",How did the husband feel while he asked his wife if she was a witch?,"Why did the husband watch his wife carefully?, Why did the husband ask the wife if she was a witch?, What did the wife ask the husband to do if she was a witch?, What would the wife tell the husband about her midnight expeditions?"
33,"He used to try and watch her carefully, in order to find out where she went, or what she did, but he never managed to do so, for she always slipped out of the door when he was not looking, and before he could reach it to follow her, she had vanished utterly.  At last, one day, when he could stand the uncertainty no longer, he asked her to tell him straight out whether she were a Witch or no. And his blood ran cold when, without the slightest hesitation, she answered that she was; and if he would promise not to let anyone know, the next time that she went on one of her midnight expeditions she would tell him all about it.",What did the wife do after the husband asked if she was a witch?,"Why did the husband watch his wife carefully?, Why did the husband ask the wife if she was a witch?, What did the wife ask the husband to do if she was a witch?, What did the wife do when the husband tried to follow her?, Why did the husband ask the wife if she was a witch?, What did the wife do when the husband asked her if she was a witch?"
34,"He used to try and watch her carefully, in order to find out where she went, or what she did, but he never managed to do so, for she always slipped out of the door when he was not looking, and before he could reach it to follow her, she had vanished utterly.  At last, one day, when he could stand the uncertainty no longer, he asked her to tell him straight out whether she were a Witch or no. And his blood ran cold when, without the slightest hesitation, she answered that she was; and if he would promise not to let anyone know, the next time that she went on one of her midnight expeditions she would tell him all about it.",What would the wife do if the husband promised not to let anyone know?,"Why did the husband watch his wife carefully?, Why did the husband ask the wife if she was a witch?, What did the wife ask the husband to do if she was a witch?, What would the wife tell the husband about her midnight expeditions?"
35,"The Goodman promised; for it seemed to him just as well that he should know all about his wife's cantrips.  He had not long to wait before he heard of them. For the very next week the moon was new, which is, as everybody knows, the time of all others when Witches like to stir abroad; and on the first night of the new moon his wife vanished. Nor did she return till daybreak next morning.",Why did the husband make the promise to his wife?,When did the wife vanish?
36,"The Goodman promised; for it seemed to him just as well that he should know all about his wife's cantrips.  He had not long to wait before he heard of them. For the very next week the moon was new, which is, as everybody knows, the time of all others when Witches like to stir abroad; and on the first night of the new moon his wife vanished. Nor did she return till daybreak next morning.",What happened on the first night of the new moon?,When did the wife vanish?
37,"The Goodman promised; for it seemed to him just as well that he should know all about his wife's cantrips.  He had not long to wait before he heard of them. For the very next week the moon was new, which is, as everybody knows, the time of all others when Witches like to stir abroad; and on the first night of the new moon his wife vanished. Nor did she return till daybreak next morning.",Why didn't the husband have to wait long before he heard of his wife's stories?,When did the wife vanish?
38,"And when he asked her where she had been, she told him, in great glee, how she and four like-minded companions had met at the old Kirk on the moor and had mounted branches of the green bay tree and stalks of hemlock, which had instantly changed into horses, and how they had ridden, swift as the wind, over the country, hunting the foxes, and the weasels, and the owls; and how at last they had swam the Forth and come to the top of Bell Lomond. And how there they had dismounted from their horses, and drunk beer that had been brewed in no earthly brewery, out of horn cups that had been fashioned by no mortal hands.",What did his wife and her four companions do on their trip?,What did the young men do at Bell Lomond?
39,"And when he asked her where she had been, she told him, in great glee, how she and four like-minded companions had met at the old Kirk on the moor and had mounted branches of the green bay tree and stalks of hemlock, which had instantly changed into horses, and how they had ridden, swift as the wind, over the country, hunting the foxes, and the weasels, and the owls; and how at last they had swam the Forth and come to the top of Bell Lomond. And how there they had dismounted from their horses, and drunk beer that had been brewed in no earthly brewery, out of horn cups that had been fashioned by no mortal hands.",What did his wife and her four companions hunt?,What did the young men do at Bell Lomond?
40,"And how, after that, a wee, wee man had jumped up from under a great mossy stone, with a tiny set of bagpipes under his arm, and how he had piped such wonderful music, that, at the sound of it, the very trouts jumped out of the Loch below, and the stoats crept out of their holes, and the corby crows and the herons came and sat on the trees in the darkness, to listen. And how all the Witches danced until they were so weary that, when the time came for them to mount their steeds again, if they would be home before cock-crow, they could scarce sit on them for fatigue.",Who had a tiny set of bagpipes under his arm and piped such wonderful music?,"Who had piped such wonderful music?, What did the Witches do because they were so weary?"
41,"And how, after that, a wee, wee man had jumped up from under a great mossy stone, with a tiny set of bagpipes under his arm, and how he had piped such wonderful music, that, at the sound of it, the very trouts jumped out of the Loch below, and the stoats crept out of their holes, and the corby crows and the herons came and sat on the trees in the darkness, to listen. And how all the Witches danced until they were so weary that, when the time came for them to mount their steeds again, if they would be home before cock-crow, they could scarce sit on them for fatigue.",Why were the Witches tired?,Why did the Witches scarce sit on their steeds for fatigue?
42,"The Goodman listened to this long story in silence, shaking his head meanwhile, and, when it was finished, all that he answered was: ""And what the better are ye for all your dancing? Ye'd have been a deal more comfortable at home.""  At the next new moon the old wife went off again for the night; and when she returned in the morning she told her husband how, on this occasion, she and her friends had taken cockle-shells for boats, and had sailed away over the stormy sea till they reached Norway. And there they had mounted invisible horses of wind, and had ridden and ridden, over mountains and glens, and glaciers, till they reached the land of the Lapps lying under its mantle of snow.",What did the wife do at the next new moon?,What did the wife and her friends do on the next new moon?
43,"The Goodman listened to this long story in silence, shaking his head meanwhile, and, when it was finished, all that he answered was: ""And what the better are ye for all your dancing? Ye'd have been a deal more comfortable at home.""  At the next new moon the old wife went off again for the night; and when she returned in the morning she told her husband how, on this occasion, she and her friends had taken cockle-shells for boats, and had sailed away over the stormy sea till they reached Norway. And there they had mounted invisible horses of wind, and had ridden and ridden, over mountains and glens, and glaciers, till they reached the land of the Lapps lying under its mantle of snow.",What did the husband want his wife to do instead of dancing all night?,What did the wife and her friends do on the next new moon?
44,"The Goodman listened to this long story in silence, shaking his head meanwhile, and, when it was finished, all that he answered was: ""And what the better are ye for all your dancing? Ye'd have been a deal more comfortable at home.""  At the next new moon the old wife went off again for the night; and when she returned in the morning she told her husband how, on this occasion, she and her friends had taken cockle-shells for boats, and had sailed away over the stormy sea till they reached Norway. And there they had mounted invisible horses of wind, and had ridden and ridden, over mountains and glens, and glaciers, till they reached the land of the Lapps lying under its mantle of snow.",What did the wife and her friends use for boats?,What did the wife and her friends do on the next new moon?
45,"The Goodman listened to this long story in silence, shaking his head meanwhile, and, when it was finished, all that he answered was: ""And what the better are ye for all your dancing? Ye'd have been a deal more comfortable at home.""  At the next new moon the old wife went off again for the night; and when she returned in the morning she told her husband how, on this occasion, she and her friends had taken cockle-shells for boats, and had sailed away over the stormy sea till they reached Norway. And there they had mounted invisible horses of wind, and had ridden and ridden, over mountains and glens, and glaciers, till they reached the land of the Lapps lying under its mantle of snow.",Where did the wife and her friends go to after getting on the boat?,What did the wife and her friends do on the next new moon?
46,"The Goodman listened to this long story in silence, shaking his head meanwhile, and, when it was finished, all that he answered was: ""And what the better are ye for all your dancing? Ye'd have been a deal more comfortable at home.""  At the next new moon the old wife went off again for the night; and when she returned in the morning she told her husband how, on this occasion, she and her friends had taken cockle-shells for boats, and had sailed away over the stormy sea till they reached Norway. And there they had mounted invisible horses of wind, and had ridden and ridden, over mountains and glens, and glaciers, till they reached the land of the Lapps lying under its mantle of snow.",What did the wife and her friends do after they took the cockle-shells for boats?,What did the wife and her friends do on the next new moon?
47,"The Goodman listened to this long story in silence, shaking his head meanwhile, and, when it was finished, all that he answered was: ""And what the better are ye for all your dancing? Ye'd have been a deal more comfortable at home.""  At the next new moon the old wife went off again for the night; and when she returned in the morning she told her husband how, on this occasion, she and her friends had taken cockle-shells for boats, and had sailed away over the stormy sea till they reached Norway. And there they had mounted invisible horses of wind, and had ridden and ridden, over mountains and glens, and glaciers, till they reached the land of the Lapps lying under its mantle of snow.",Where did the wife and her friends go to after riding invisible horses?,What did the wife and her friends do on the next new moon?
48,"And here all the Elves, and Fairies, and Mermaids of the North were holding festival with Warlocks, and Brownies, and Pixies, and even the Phantom Hunters themselves, who are never looked upon by mortal eyes. And the Witches from Fife held festival with them, and danced, and feasted, and sang with them, and, what was of more consequence, they learned from them certain wonderful words, which, when they uttered them, would bear them through the air, and would undo all bolts and bars, and so gain them admittance to any place soever where they wanted to be. And after that they had come home again, delighted with the knowledge which they had acquired.  ""What took you to such a land as that?"" asked the old man, with a contemptuous grunt. ""You would hae been a sight warmer in your bed.""",Why did the wife and her friends go to the land of the Lapps?,"Why did the Witches from Fife want to go to the land of the Warlocks, and Brownies, and Pixies, and even the Phantom Hunters themselves?"
49,"And here all the Elves, and Fairies, and Mermaids of the North were holding festival with Warlocks, and Brownies, and Pixies, and even the Phantom Hunters themselves, who are never looked upon by mortal eyes. And the Witches from Fife held festival with them, and danced, and feasted, and sang with them, and, what was of more consequence, they learned from them certain wonderful words, which, when they uttered them, would bear them through the air, and would undo all bolts and bars, and so gain them admittance to any place soever where they wanted to be. And after that they had come home again, delighted with the knowledge which they had acquired.  ""What took you to such a land as that?"" asked the old man, with a contemptuous grunt. ""You would hae been a sight warmer in your bed.""",How did the wife and her friends feel with the knowledge they acquired?,"Why did the Witches from Fife want to go to the land of the Warlocks, and Brownies, and Pixies, and even the Phantom Hunters themselves?"
50,"And the bolts and the bars flew loose before them, and they went down to his cellar and sampled his wine, and were back in Fife, fine, sober, old women by cock-crow.  When he heard this, the old man started from his chair in right earnest, for he loved good wine above all things, and it was but seldom that it came his way.  ""By my truth, but you are a wife to be proud of!"" he cried. ""Tell me the words, Woman! and I will e'en go and sample his Lordship's wine for myself.""",How did the husband feel after his wife told him about her next adventure?,How did the husband feel when he heard that his wife could make good wine?
51,"But when his wife returned from her next adventure, he showed a little more interest in her doings.  For she told him how she and her friends had met in the cottage of one of their number, and how, having heard that the Lord Bishop of Carlisle had some very rare wine in his cellar, they had placed their feet on the crook from which the pot hung, and had pronounced the magic words which they had learned from the Elves of Lappland. And, lo and behold! they flew up the chimney like whiffs of smoke, and sailed through the air like little wreathes of cloud, and in less time than it takes to tell they landed at the Bishop's Palace at Carlisle.",How did the witches land at the Bishop's Palace of Carlisle?,"Why did the Elves of Lappland teach the little old woman and her friends the magic words?, What did the little old woman and her friends do after they heard the Lord Bishop of Carlisle had some very rare wine in his cellar?"
