Unnamed: 0,id,context,question,generated
10,11,"After some time the linen was taken into the house, and there cut with the scissors and torn into pieces and then pricked with needles. This certainly was not pleasant, but at last it was made into twelve garments of the kind that everybody wears. ""See now, then,"" said the flax, ""I have become something of importance. This was my destiny. It is quite a blessing. Now I shall be of some use in the world, as every one ought to be. It is the only way to be happy. I am now divided into twelve pieces, and yet the whole dozen is all one and the same. It is most extraordinary good fortune.""",Why was the linen cut into  pieces?,"1. What was the linen made into?
2. How was the linen made into twelve garments?
3. Why was the linen made into twelve garments?
4. Which garments did the linen become?
5. Which part of the linen was used to make the garments?
6. When did the linen become twelve garments?
7. Where did the linen become twelve garments?
8. Which part of the linen was used to make the garments?
9. Which garments did the linen become?
10. Which garments did the linen become?
11. Which garments did the linen become?
12. Which garments did the linen become?"
11,12,"Years passed away, and at last the linen was so worn it could scarcely hold together. ""It must end very soon,"" said the pieces to each other. ""We would gladly have held together a little longer, but it is useless to expect impossibilities."" And at length they fell into rags and tatters and thought it was all over with them, for they were torn to shreds and steeped in water and made into a pulp and dried, and they knew not what besides, till all at once they found themselves beautiful white paper. ""Well, now, this is a surprise--a glorious surprise too,"" said the paper. ""Now I am finer than ever, and who can tell what fine things I may have written upon me? This is wonderful luck!"" And so it was, for the most beautiful stories and poetry were written upon it, and only once was there a blot, which was remarkable good fortune. Then people heard the stories and poetry read, and it made them wiser and better; for all that was written had a good and sensible meaning, and a great blessing was contained in it.",What happened to the linen after it fell apart?,"1. What was the linen made of?
2. When did the linen become worn?
3. Where did the linen come from?
4. Which pieces of the linen were talking to each other?
5. Who was the linen talking to?
6. Why did the linen become worn?
7. How did the linen become worn?"
12,13,"Years passed away, and at last the linen was so worn it could scarcely hold together. ""It must end very soon,"" said the pieces to each other. ""We would gladly have held together a little longer, but it is useless to expect impossibilities."" And at length they fell into rags and tatters and thought it was all over with them, for they were torn to shreds and steeped in water and made into a pulp and dried, and they knew not what besides, till all at once they found themselves beautiful white paper. ""Well, now, this is a surprise--a glorious surprise too,"" said the paper. ""Now I am finer than ever, and who can tell what fine things I may have written upon me? This is wonderful luck!"" And so it was, for the most beautiful stories and poetry were written upon it, and only once was there a blot, which was remarkable good fortune. Then people heard the stories and poetry read, and it made them wiser and better; for all that was written had a good and sensible meaning, and a great blessing was contained in it.",What did people write on the paper?,"1. What was the linen made of?
2. When did the linen become worn?
3. Where did the linen come from?
4. Which pieces of the linen were talking to each other?
5. Who was the linen talking to?
6. Why did the linen become worn?
7. How did the linen become worn?"
13,14,"""I never imagined anything like this when I was only a little blue flower growing in the fields,"" said the paper. ""How could I know that I should ever be the means of bringing knowledge and joy to men? I cannot understand it myself, and yet it is really so. Heaven knows that I have done nothing myself but what I was obliged to do with my weak powers for my own preservation; and yet I have been promoted from one joy and honor to another. Each time I think that the song is ended, and then something higher and better begins for me. I suppose now I shall be sent out to journey about the world, so that people may read me. It cannot be otherwise, for I have more splendid thoughts written upon me than I had pretty flowers in olden times. I am happier than ever.""",How does the paper feel about being made into paper?,"1. What was the paper's initial purpose?
2. When did the paper realize its potential?
3. Where did the paper's journey begin?
4. Which people read the paper?
5. Who wrote the paper?
6. Why did the paper have more splendid thoughts written upon it?
7. How did the paper's journey end?"
14,15,"""I never imagined anything like this when I was only a little blue flower growing in the fields,"" said the paper. ""How could I know that I should ever be the means of bringing knowledge and joy to men? I cannot understand it myself, and yet it is really so. Heaven knows that I have done nothing myself but what I was obliged to do with my weak powers for my own preservation; and yet I have been promoted from one joy and honor to another. Each time I think that the song is ended, and then something higher and better begins for me. I suppose now I shall be sent out to journey about the world, so that people may read me. It cannot be otherwise, for I have more splendid thoughts written upon me than I had pretty flowers in olden times. I am happier than ever.""",Why is the paper so happy?,"1. What was the paper's initial purpose?
2. When did the paper realize its potential?
3. Where did the paper's journey begin?
4. Which people read the paper?
5. Who wrote the paper?
6. Why did the paper's journey begin?
7. How did the paper's journey end?"
15,16,"But the paper did not go on its travels. It was sent to the printer, and all the words written upon it were set up in type to make a book,--or rather many hundreds of books,--for many more persons could derive pleasure and profit from a printed book than from the written paper; and if the paper had been sent about the world, it would have been worn out before it had half finished its journey.",Why were the words turned into printed books?,"1. What was the paper used for?
2. When was the paper used?
3. Where was the paper used?
4. Which words were written upon it?
5. Who wrote the words upon it?
6. Why was the paper sent to the printer?
7. How was the paper used?"
16,17,"But the paper did not go on its travels. It was sent to the printer, and all the words written upon it were set up in type to make a book,--or rather many hundreds of books,--for many more persons could derive pleasure and profit from a printed book than from the written paper; and if the paper had been sent about the world, it would have been worn out before it had half finished its journey.",Why will the paper be happy about being turned into a book?,"1. What was the paper used for?
2. When was the paper sent to the printer?
3. Where was the paper sent to?
4. Which words were written upon it?
5. Who wrote the words upon the paper?
6. Why was the paper sent to the printer?
7. How many books were printed from the paper?"
17,18,"""Yes, this is certainly the wisest plan,"" said the written paper; ""I really did not think of this. I shall remain at home and be held in honor like some old grandfather, as I really am to all these new books. They will do some good. I could not have wandered about as they can, yet he who wrote all this has looked at me as every word flowed from his pen upon my surface. I am the most honored of all."" Then the paper was tied in a bundle with other papers and thrown into a tub that stood in the washhouse. ""After work, it is well to rest,"" said the paper, ""and a very good opportunity to collect one's thoughts. Now I am able, for the first time, to learn what is in me; and to know one's self is true progress. What will be done with me now, I wonder? No doubt I shall still go forward. I have always progressed hitherto, I know quite well.""",What happened to the paper after it was tied in a bundle?,"1. What is the wisest plan?
2. When did the written paper realize this?
3. Where did the written paper decide to stay?
4. Which books did the written paper decide to read?
5. Who wrote all these words?
6. Why did the written paper decide to stay at home?
7. How did the written paper decide to read the books?"
18,19,"Now it happened one day that all the paper in the tub was taken out and laid on the hearth to be burned. People said it could not be sold at the shop, to wrap up butter and sugar, because it had been written upon. The children in the house stood round the hearth to watch the blaze, for paper always flamed up so prettily, and afterwards, among the ashes, there were so many red sparks to be seen running one after the other, here and there, as quick as the wind. They called it seeing the children come out of school, and the last spark, they said, was the schoolmaster. They would often think the last spark had come, and one would cry, ""There goes the schoolmaster,"" but the next moment another spark would appear, bright and beautiful. How they wanted to know where all the sparks went to! Perhaps they will find out some day.",Why was the paper not sold at the shop?,"1. What was the reason for the paper being taken out of the tub and laid on the hearth to be burned?
2. Why did people say it could not be sold at the shop, to wrap up butter and sugar?
3. What did the children in the house stand round the hearth to watch?
4. What did they call it seeing the children come out of school?
5. What did they say the last spark had come, and the next moment another spark would appear, bright and beautiful?
6. How did they want to know where all the sparks went to?
7. What was the reason for the paper being taken out of the tub and laid on the hearth to be burned?"
19,20,"Now it happened one day that all the paper in the tub was taken out and laid on the hearth to be burned. People said it could not be sold at the shop, to wrap up butter and sugar, because it had been written upon. The children in the house stood round the hearth to watch the blaze, for paper always flamed up so prettily, and afterwards, among the ashes, there were so many red sparks to be seen running one after the other, here and there, as quick as the wind. They called it seeing the children come out of school, and the last spark, they said, was the schoolmaster. They would often think the last spark had come, and one would cry, ""There goes the schoolmaster,"" but the next moment another spark would appear, bright and beautiful. How they wanted to know where all the sparks went to! Perhaps they will find out some day.",What did the children do when they saw the fire?,"1. What happened one day that all the paper in the tub was taken out and laid on the hearth to be burned?
2. Why did people say it could not be sold at the shop, to wrap up butter and sugar, because it had been written upon?
3. How did the children in the house stand round the hearth to watch the blaze, for paper always flamed up so prettily, and afterwards, among the ashes, there were so many red sparks to be seen running one after the other, here and there, as quick as the wind?
4. They called it seeing the children come out of school, and the last spark, they said, was the schoolmaster. How did they want to know where all the sparks went to?
5. Perhaps they will find out some day."
20,21,"The whole bundle of paper had been placed on the fire and was soon burning. ""Ugh!"" cried the paper as it burst into a bright flame; ""ugh!"" It was certainly not very pleasant to be burned. But when the whole was wrapped in flames, the sparks mounted up into the air, higher than the flax had ever been able to raise its little blue flowers, and they glistened as the white linen never could have glistened. All the written letters became quite red in a moment, and all the words and thoughts turned to fire.",What happened to the words and thoughts on the page?,"1. What was the bundle of paper?
2. When did the bundle of paper catch fire?
3. Where did the bundle of paper catch fire?
4. Which bundle of paper caught fire?
5. Who saw the bundle of paper catch fire?
6. Why did the bundle of paper catch fire?
7. How did the bundle of paper catch fire?"
21,22,"""Now I am mounting straight up to the sun,"" said a voice in the flames; and it was as if a thousand voices echoed the words as the flames darted up through the chimney and went out at the top. Then a number of tiny beings, as many as the flowers on the flax had been, and invisible to mortal eyes, floated above the children. They were even lighter and more delicate than the blue flowers from which they were born; and as the flames died out and nothing remained of the paper but black ashes, these little beings danced upon it, and wherever they touched it, bright red sparks appeared.",Why couldn't the children see the tiny beings?,"1. What is the voice saying?
2. When did the voice say this?
3. Where is the voice coming from?
4. Which voice is speaking?
5. Which tiny beings are floating above the children?
6. Why are the tiny beings floating above the children?
7. How are the tiny beings floating above the children?"
22,23,"""Now I am mounting straight up to the sun,"" said a voice in the flames; and it was as if a thousand voices echoed the words as the flames darted up through the chimney and went out at the top. Then a number of tiny beings, as many as the flowers on the flax had been, and invisible to mortal eyes, floated above the children. They were even lighter and more delicate than the blue flowers from which they were born; and as the flames died out and nothing remained of the paper but black ashes, these little beings danced upon it, and wherever they touched it, bright red sparks appeared.",What did the little beings do on the ashes?,"1. What did the voice in the flames say?
2. When did the voice say it?
3. Where did the voice come from?
4. Which voice was it?
5. Which beings were floating above the children?
6. Why were the beings invisible to mortal eyes?
7. How did the beings dance upon the black ashes?"
23,24,"""The children are all out of school, and the schoolmaster was the last of all,"" said the children. It was good fun, and they sang over the dead ashes:           ""Snip, snap, snurre,            Basse lurre.            The song is ended."" But the little invisible beings said, ""The song is never ended; the most beautiful is yet to come."" But the children could neither hear nor understand this; nor should they, for children must not know everything.",What did the little beings say after the song?,"1. What is the name of the schoolmaster?
2. When did the children go out of school?
3. Where did the children go after leaving school?
4. Which children were singing over the dead ashes?
5. Who were the little invisible beings that said the song is never ended?
6. Why did the children not understand the words of the little invisible beings?
7. How did the children feel about the song being ended?"
24,25,"In the Kingdom of Fife, in the days of long ago, there lived an old man and his wife. The old man was a douce, quiet body, but the old woman was lightsome and flighty, and some of the neighbours were wont to look at her askance, and whisper to each other that they sorely feared that she was a Witch.  And her husband was afraid of it, too, for she had a curious habit of disappearing in the gloaming and staying out all night; and when she returned in the morning she looked quite white and tired, as if she had been travelling far, or working hard.","Who had a douce, quiet body?","1. What was the old man's occupation?
2. What was the old woman's occupation?
3. What was the old man's fear about his wife?
4. What was the old woman's curious habit?
5. What did the old woman look like when she returned from her nighttime travels?
6. What did the neighbors say about the old woman?
7. What was the old man's reaction to his wife's behavior?"
25,26,"In the Kingdom of Fife, in the days of long ago, there lived an old man and his wife. The old man was a douce, quiet body, but the old woman was lightsome and flighty, and some of the neighbours were wont to look at her askance, and whisper to each other that they sorely feared that she was a Witch.  And her husband was afraid of it, too, for she had a curious habit of disappearing in the gloaming and staying out all night; and when she returned in the morning she looked quite white and tired, as if she had been travelling far, or working hard.",Who was lightsome and flighty?,"1. What was the old man's occupation?
2. What was the old woman's occupation?
3. What was the old man's fear about his wife?
4. What was the old woman's curious habit?
5. What did the old woman look like when she returned in the morning?
6. What did the neighbors say about the old woman?
7. What was the old woman's occupation?"
26,27,"In the Kingdom of Fife, in the days of long ago, there lived an old man and his wife. The old man was a douce, quiet body, but the old woman was lightsome and flighty, and some of the neighbours were wont to look at her askance, and whisper to each other that they sorely feared that she was a Witch.  And her husband was afraid of it, too, for she had a curious habit of disappearing in the gloaming and staying out all night; and when she returned in the morning she looked quite white and tired, as if she had been travelling far, or working hard.",Why was her husband afraid that she was a witch?,"1. What was the old man's occupation?
2. What was the old woman's occupation?
3. What was the old man's fear about his wife?
4. What was the old woman's curious habit?
5. What did the old woman look like when she returned from her nighttime travels?
6. What was the old man's fear about his wife?
7. What was the old woman's occupation?"
27,28,"In the Kingdom of Fife, in the days of long ago, there lived an old man and his wife. The old man was a douce, quiet body, but the old woman was lightsome and flighty, and some of the neighbours were wont to look at her askance, and whisper to each other that they sorely feared that she was a Witch.  And her husband was afraid of it, too, for she had a curious habit of disappearing in the gloaming and staying out all night; and when she returned in the morning she looked quite white and tired, as if she had been travelling far, or working hard.",How did the wife look when she returned in the morning?,"1. What was the old man's occupation?
2. What was the old woman's occupation?
3. What was the old man's fear about his wife?
4. What was the old woman's curious habit?
5. What did the old woman look like when she returned from her nighttime travels?
6. What did the neighbors say about the old woman?
7. What was the old man's reaction to his wife's behavior?"
28,29,"He used to try and watch her carefully, in order to find out where she went, or what she did, but he never managed to do so, for she always slipped out of the door when he was not looking, and before he could reach it to follow her, she had vanished utterly.  At last, one day, when he could stand the uncertainty no longer, he asked her to tell him straight out whether she were a Witch or no. And his blood ran cold when, without the slightest hesitation, she answered that she was; and if he would promise not to let anyone know, the next time that she went on one of her midnight expeditions she would tell him all about it.",What did the husband do to find out where his wife went?,"1. What did he do to find out where she went or what she did?
2. Why did he ask her to tell him straight out whether she were a Witch or no?
3. What did she promise him if he promised not to let anyone know?
4. What did she tell him about her midnight expeditions?
5. What did he do when she told him about her midnight expeditions?
6. What did he do when he found out that she was a Witch?
7. What did he do when he found out that she was a Witch?"
29,30,"In the Kingdom of Fife, in the days of long ago, there lived an old man and his wife. The old man was a douce, quiet body, but the old woman was lightsome and flighty, and some of the neighbours were wont to look at her askance, and whisper to each other that they sorely feared that she was a Witch.  And her husband was afraid of it, too, for she had a curious habit of disappearing in the gloaming and staying out all night; and when she returned in the morning she looked quite white and tired, as if she had been travelling far, or working hard.",How did the neighbors feel about the wife possibly being a witch?,"1. What was the old man's occupation?
2. What was the old woman's occupation?
3. What was the old man's fear about his wife?
4. What was the old woman's curious habit?
5. What did the old woman look like when she returned in the morning?
6. What did the neighbors say about the old woman?
7. What was the old woman's occupation?"
30,31,"He used to try and watch her carefully, in order to find out where she went, or what she did, but he never managed to do so, for she always slipped out of the door when he was not looking, and before he could reach it to follow her, she had vanished utterly.  At last, one day, when he could stand the uncertainty no longer, he asked her to tell him straight out whether she were a Witch or no. And his blood ran cold when, without the slightest hesitation, she answered that she was; and if he would promise not to let anyone know, the next time that she went on one of her midnight expeditions she would tell him all about it.",Why did the husband fail to find out where she went?,"1. What did he do to find out where she went or what she did?
2. Why did he ask her to tell him straight out whether she were a Witch or no?
3. What did she promise him if he promised not to let anyone know?
4. What did she tell him about her midnight expeditions?
5. What did he do when she told him about her midnight expeditions?
6. What did he do when he found out that she was a Witch?
7. What did he do when he found out that she was a Witch?"
31,32,"He used to try and watch her carefully, in order to find out where she went, or what she did, but he never managed to do so, for she always slipped out of the door when he was not looking, and before he could reach it to follow her, she had vanished utterly.  At last, one day, when he could stand the uncertainty no longer, he asked her to tell him straight out whether she were a Witch or no. And his blood ran cold when, without the slightest hesitation, she answered that she was; and if he would promise not to let anyone know, the next time that she went on one of her midnight expeditions she would tell him all about it.",What did the husband do when he could not stand the uncertainty any longer?,"1. What did he do to find out where she went or what she did?
2. Why did he ask her to tell him straight out whether she were a Witch or no?
3. What did she promise him if he promised not to let anyone know?
4. What did she tell him about her midnight expeditions?
5. What did he do when she told him about her midnight expeditions?
6. What did he do when she told him about her midnight expeditions?
7. What did he do when she told him about her midnight expeditions?"
32,33,"He used to try and watch her carefully, in order to find out where she went, or what she did, but he never managed to do so, for she always slipped out of the door when he was not looking, and before he could reach it to follow her, she had vanished utterly.  At last, one day, when he could stand the uncertainty no longer, he asked her to tell him straight out whether she were a Witch or no. And his blood ran cold when, without the slightest hesitation, she answered that she was; and if he would promise not to let anyone know, the next time that she went on one of her midnight expeditions she would tell him all about it.",How did the husband feel while he asked his wife if she was a witch?,"1. What did he do to find out where she went or what she did?
2. Why did he ask her to tell him straight out whether she were a Witch or no?
3. What did she promise him if he promised not to let anyone know?
4. What did she tell him about her midnight expeditions?
5. What did he do when she told him about her midnight expeditions?
6. What did he do when she told him about her midnight expeditions?
7. What did he do when she told him about her midnight expeditions?"
33,34,"He used to try and watch her carefully, in order to find out where she went, or what she did, but he never managed to do so, for she always slipped out of the door when he was not looking, and before he could reach it to follow her, she had vanished utterly.  At last, one day, when he could stand the uncertainty no longer, he asked her to tell him straight out whether she were a Witch or no. And his blood ran cold when, without the slightest hesitation, she answered that she was; and if he would promise not to let anyone know, the next time that she went on one of her midnight expeditions she would tell him all about it.",What did the wife do after the husband asked if she was a witch?,"1. What did he do to find out where she went or what she did?
2. Why did he ask her to tell him straight out whether she were a Witch or no?
3. What did she promise him if he promised not to let anyone know?
4. What did she tell him about her midnight expeditions?
5. What did he do when she told him about her midnight expeditions?
6. What did he do when he found out that she was a Witch?
7. What did he do when he found out that she was a Witch?"
34,35,"He used to try and watch her carefully, in order to find out where she went, or what she did, but he never managed to do so, for she always slipped out of the door when he was not looking, and before he could reach it to follow her, she had vanished utterly.  At last, one day, when he could stand the uncertainty no longer, he asked her to tell him straight out whether she were a Witch or no. And his blood ran cold when, without the slightest hesitation, she answered that she was; and if he would promise not to let anyone know, the next time that she went on one of her midnight expeditions she would tell him all about it.",What would the wife do if the husband promised not to let anyone know?,"1. What did he do to find out where she went or what she did?
2. Why did he ask her to tell him straight out whether she were a Witch or no?
3. What did she promise him if he promised not to let anyone know?
4. What did she tell him about her midnight expeditions?
5. What did he do when she told him about her midnight expeditions?
6. What did he do when he found out that she was a Witch?
7. What did he do when she told him about her midnight expeditions?"
35,36,"The Goodman promised; for it seemed to him just as well that he should know all about his wife's cantrips.  He had not long to wait before he heard of them. For the very next week the moon was new, which is, as everybody knows, the time of all others when Witches like to stir abroad; and on the first night of the new moon his wife vanished. Nor did she return till daybreak next morning.",Why did the husband make the promise to his wife?,"1. What happened to the Goodman's wife?
2. When did the Goodman's wife vanish?
3. Where did the Goodman's wife go?
4. Which night was the Goodman's wife gone?
5. Which moon was it when the Goodman's wife vanished?
6. Who did the Goodman's wife go with?
7. Why did the Goodman's wife go away?
8. How did the Goodman know about his wife's cantrips?"
36,37,"The Goodman promised; for it seemed to him just as well that he should know all about his wife's cantrips.  He had not long to wait before he heard of them. For the very next week the moon was new, which is, as everybody knows, the time of all others when Witches like to stir abroad; and on the first night of the new moon his wife vanished. Nor did she return till daybreak next morning.",What happened on the first night of the new moon?,"1. What happened to the Goodman's wife?
2. When did the Goodman's wife vanish?
3. Where did the Goodman's wife go?
4. Which Witches stirred abroad during the new moon?
5. Which night of the new moon did the Goodman's wife vanish?
6. Who was the Goodman's wife?
7. Why did the Goodman's wife vanish?
8. How did the Goodman know about his wife's cantrips?"
37,38,"The Goodman promised; for it seemed to him just as well that he should know all about his wife's cantrips.  He had not long to wait before he heard of them. For the very next week the moon was new, which is, as everybody knows, the time of all others when Witches like to stir abroad; and on the first night of the new moon his wife vanished. Nor did she return till daybreak next morning.",Why didn't the husband have to wait long before he heard of his wife's stories?,"1. What happened to the Goodman's wife?
2. When did the Goodman's wife vanish?
3. Where did the Goodman's wife go?
4. Which Witches stirred abroad during the new moon?
5. Which night of the new moon did the Goodman's wife vanish?
6. Who was the Goodman's wife?
7. Why did the Goodman's wife vanish?
8. How did the Goodman know about his wife's cantrips?"
38,39,"And when he asked her where she had been, she told him, in great glee, how she and four like-minded companions had met at the old Kirk on the moor and had mounted branches of the green bay tree and stalks of hemlock, which had instantly changed into horses, and how they had ridden, swift as the wind, over the country, hunting the foxes, and the weasels, and the owls; and how at last they had swam the Forth and come to the top of Bell Lomond. And how there they had dismounted from their horses, and drunk beer that had been brewed in no earthly brewery, out of horn cups that had been fashioned by no mortal hands.",What did his wife and her four companions do on their trip?,"1. What did they do?
2. When did they do it?
3. Where did they do it?
4. Which companions were there?
5. Which animals did they ride?
6. Why did they do it?
7. How did they do it?"
